ID,STT,DANGMON,MAU,CHUTHICH,PBSOTIET_TONG,PBSOTIET_LT,PBSOTIET_BT,PBSOTIET_TN,PBSOTIET_BTL,PBSOTIET_TQ,PBSOTIET_DA,PBSOTIET_TTNT,PBSOTIET_LVTN,PBSOTIET_TUHOC,PBSOTIET_KHAC,PBSOTC_TONG,PBSOTC_LT,PBSOTC_BT,PBSOTC_TN,PBSOTC_BTL,PBSOTC_TQ,PBSOTC_DA,PBSOTC_TTNT,PBSOTC_LVTN,PBSOTC_TUHOC,PBSOTC_KHAC,MAU_OLD
19,19,LT,3_2_0.6_0_0.4,2LT (2 tiết/tuần x 15 tuần) + 0.6ThL (2 tiết/tuần x 9 tuần) + 0.4BTL (9 giờ/bài x 2 bài),150,30,18,0,18,0,0,0,0.0,69,15.0,3.0,2.0,0.6,0.0,0.4,0,0,0,0.0,0,0,3n
20,20,LT,3_2_0.6_0.4_0,2LT (2 tiết/tuần x 15 tuần) + 0.6ThL (2 tiết/tuần x 9 tuần) + 0.4TN (4 tiết/tuần x 3 tuần),150,30,18,12,0,0,0,0,0.0,75,15.0,3.0,2.0,0.6,0.4,0.0,0,0,0,0.0,0,0,3L
21,21,LT,3_2_0.8_0_0.2,2LT (2 tiết/tuần x 15 tuần) + 0.8ThL (2 tiết/tuần x 12 tuần) + 0.2BTL (9 giờ/bài x 1 bài),150,30,24,0,9,0,0,0,0.0,72,15.0,3.0,2.0,0.8,0.0,0.2,0,0,0,0.0,0,0,3a
22,22,LT,3_2_0_0_1,2LT (2 tiết/tuần x 15 tuần) + 1BTL (15 giờ/bài x 3 bài),150,30,0,0,45,0,0,0,0.0,60,15.0,3.0,2.0,0.0,0.0,1.0,0,0,0,0.0,0,0,3c
23,23,LT,3_2_1_0_0,2LT (2 tiết/tuần x 15 tuần) + 1ThL (2 tiết/tuần x 15 tuần) ,150,30,30,0,0,0,0,0,0.0,75,15.0,3.0,2.0,1.0,0.0,0.0,0,0,0,0.0,0,0,3i
24,24,LT,4_2_1_1_0,2LT (2 tiết/tuần x 15 tuần) + 1ThL (2 tiết/tuần x 15 tuần) + 1TN (5 tiết/tuần x 6 tuần),200,30,30,30,0,0,0,0,0.0,90,20.0,4.0,2.0,1.0,1.0,0.0,0,0,0,0.0,0,0,4g
25,25,LT,3_2_0_1_0,2LT (2 tiết/tuần x 15 tuần) + 1TN (5 tiết/tuần x 6 tuần),150,30,0,30,0,0,0,0,0.0,75,15.0,3.0,2.0,0.0,1.0,0.0,0,0,0,0.0,0,0,3d
26,26,LT,4_2_0_1_1,2LT (2 tiết/tuần x 15 tuần) + 1TN (5 tiết/tuần x 6 tuần) + 1BTL (15 giờ/bài x 3 bài),200,30,0,30,45,0,0,0,0.0,75,20.0,4.0,2.0,0.0,1.0,1.0,0,0,0,0.0,0,0,4e
27,27,LT,6_2_0_0_4,2LT (2 tiết/tuần x 15 tuần) + 2BTL (15 giờ/bài x 6 bài),300,30,0,0,180,0,0,0,0.0,60,30.0,6.0,2.0,0.0,0.0,4.0,0,0,0,0.0,0,0,6b
28,28,LT,4_2_0_0_2,2LT (2 tiết/tuần x 15 tuần) + 2BTL (9 giờ/bài x 2BTL 15 giờ/bài x 6 bài),200,30,0,0,90,0,0,0,0.0,60,20.0,4.0,2.0,0.0,0.0,2.0,0,0,0,0.0,0,0,4j
29,29,LT,4_3_0.47_0_0.53,3LT (3 tiết/tuần x 15 tuần) + 0.47ThL (2 tiết/tuần x 7 tuần) + 0.53BTL (24 giờ/bài x 1 bài),200,45,14,0,24,0,0,0,0.0,97,20.0,4.0,3.0,0.47,0.0,0.53,0,0,0,0.0,0,0,4f
30,30,LT,4_3_0_0.67_0.33,3LT (3 tiết/tuần x 15 tuần) + 0.67TN (5 tiết/tuần x 4 tuần) + 0.33BTL (15 giờ/bài x 1 bài),200,45,0,20,15,0,0,0,0.0,100,20.0,4.0,3.0,0.0,0.67,0.33,0,0,0,0.0,0,0,4d
31,31,LT,4_3_0_0.83_0.17,3LT (3 tiết/tuần x 15 tuần) + 0.83TN (5 tiết/tuần x 5 tuần) + 0.17BTL (7.5 giờ/bài x 1 bài),200,45,0,25,8,0,0,0,0.0,102,20.0,4.0,3.0,0.0,0.83,0.17,0,0,0,0.0,0,0,4h
32,32,LT,4_3_0.8_0_0.2,3LT (3 tiết/tuần x 15 tuần) + 0.8ThL (2 tiết/tuần x 12 tuần) + 0.2BTL (9 giờ/bài x 1 bài),200,45,24,0,9,0,0,0,0.0,102,20.0,4.0,3.0,0.8,0.0,0.2,0,0,0,0.0,0,0,4a
33,33,LT,4_3_0_0_1,3LT (3 tiết/tuần x 15 tuần) + 1BTL (15 giờ/bài x 3 bài),200,45,0,0,45,0,0,0,0.0,90,20.0,4.0,3.0,0.0,0.0,1.0,0,0,0,0.0,0,0,4b
34,34,LT,5_3_1_0_1,3LT (3 tiết/tuần x 15 tuần) + 1ThL (2 tiết/tuần x 15 tuần) + 1BTL (15 giờ/bài x 3 bài),250,45,30,0,45,0,0,0,0.0,105,25.0,5.0,3.0,1.0,0.0,1.0,0,0,0,0.0,0,0,5b
35,35,LT,4_3_0_1_0,3LT (3 tiết/tuần x 15 tuần) + 1TN (5 tiết/tuần x 6 tuần),200,45,0,30,0,0,0,0,0.0,105,20.0,4.0,3.0,0.0,1.0,0.0,0,0,0,0.0,0,0,4c
36,36,LT,5_3_0_1_1,3LT (3 tiết/tuần x 15 tuần) + 1TN (5 tiết/tuần x 6 tuần) + 1BTL (15 giờ/bài x 3 bài),250,45,0,30,45,0,0,0,0.0,105,25.0,5.0,3.0,0.0,1.0,1.0,0,0,0,0.0,0,0,5a
37,37,DA,0_0_0_0_0_da,Đồ án/Tiểu luận tổng quan/ Chuyên đề tiến sĩ/ Đề cương luận văn,50,0,0,0,0,0,45,0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,da0
38,38,DA,1_0_0_0_1,Đồ án,50,0,0,0,0,0,45,0,0.0,0,5.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0,da1
39,39,DA,2_0_0_0_2_da,Đồ án,100,0,0,0,0,0,90,0,0.0,0,10.0,2.0,0.0,0.0,0.0,0.0,0,2,0,0.0,0,0,da2
40,40,DA,3_0_0_0_3,Đồ án,150,0,0,0,0,0,135,0,0.0,0,15.0,3.0,0.0,0.0,0.0,0.0,0,3,0,0.0,0,0,da3
41,41,DA,4_0_0_0_4_da,Đồ án,200,0,0,0,0,0,180,0,0.0,0,20.0,4.0,0.0,0.0,0.0,0.0,0,4,0,0.0,0,0,da4
42,42,LVTN,4_0_0_0_4_lvtn,Luận văn tốt nghiệp,200,0,0,0,0,0,0,0,180.0,0,20.0,4.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0,0,lvtn4
43,43,LVTN,6_0_0_0_6_lvtn,Luận văn tốt nghiệp,300,0,0,0,0,0,0,0,270.0,0,30.0,6.0,0.0,0.0,0.0,0.0,0,0,0,6.0,0,0,lvtn6
