,F_MAMH,F_MANH,F_SISO,F_TCPHONG
710,EE1008,CC05,30.0,B2
711,EE1008,CC06,30.0,B2
712,EE1008,L26,30.0,T2
713,EE1008,L27,30.0,T6
714,EE2004,L07,60.0,LH
715,EE2004,L08,60.0,LH
716,EE2006,L05,80.0,LH
717,EE2036,L21,22.0,T8
718,EE2036,L22,22.0,T8
719,EE2036,L23,22.0,T8
720,EE2036,L24,22.0,T8
721,EE2036,L25,22.0,T8
722,EE2040,L21,30.0,TB
723,EE2040,L22,30.0,TB
724,EE2040,L23,30.0,TB
725,EE2040,L24,30.0,TB
726,GE1014,CC03,35.0,.
727,GE1014,CC04,35.0,.
728,GE1014,CC05,35.0,.
729,GE1014,CC06,35.0,.
730,GE1014,L22,30.0,.
731,GE1014,L07,30.0,.
732,GE1014,L08,30.0,.
733,GE1014,L09,30.0,.
734,GE1014,L10,30.0,.
735,GE1014,L11,30.0,.
736,GE1014,L12,30.0,.
737,GE1014,L13,30.0,.
738,GE1014,L14,30.0,.
739,GE1014,L15,30.0,.
740,GE1014,L16,30.0,.
741,GE1014,L17,30.0,.
742,GE1014,L18,30.0,
743,GE1014,L19,30.0,
744,GE1014,L20,30.0,
745,GE1014,L21,30.0,
746,ME1022,CC03,70.0,QT
747,ME2004,CC02,80.0,QT
748,ME2178,L04,20.0,H#
749,ME2178,L05,20.0,H#
750,ME2178,L06,20.0,H#
751,ME3002,CC03,25.0,.
752,ME3002,CC04,25.0,.
753,ME3002,L03,25.0,.
754,ME3002,L04,25.0,.
755,AS2001,CC01,80.0,QT
756,AS2002,CC01,80.0,QT
757,AS2011,A01,80.0,QT
758,AS2011,L01,80.0,LH
759,AS2012,A01,80.0,QT
760,AS2012,L01,80.0,LH
761,AS2013,L01,80.0,LH
762,AS2033,CC01,80.0,QT
763,AS2045,CC01,50.0,QT
764,AS2045,L01,50.0,LH
765,AS2047,A01,50.0,QT
766,AS2048,A01,50.0,QT
767,AS2049,A01,60.0,QT
768,AS2049,A02,60.0,QT
769,AS2049,A03,60.0,QT
770,AS2050,A01,60.0,QT
771,AS2050,A02,60.0,QT
772,AS2050,A03,60.0,QT
773,AS2055,A01,60.0,QT
774,AS2055,L01,60.0,LH
775,AS2056,A01,30.0,KT
776,AS2056,A02,30.0,KT
777,AS2056,L01,30.0,AS
778,AS2056,L02,30.0,AS
779,AS2065,L01,80.0,LH
780,AS2067,L01,80.0,LH
781,AS2071,A01,80.0,QT
782,AS2071,CC01,80.0,QT
783,AS2071,CC02,80.0,QT
784,AS2071,L01,80.0,LH
785,AS2071,L02,80.0,LH
786,AS2071,L03,80.0,LH
787,AS2071,L04,80.0,LH
788,AS2071,L05,80.0,LH
789,AS2071,L06,80.0,LH
790,AS2072,A01,80.0,QT
791,AS2072,CC01,80.0,QT
792,AS2072,CC02,80.0,QT
793,AS2072,L01,80.0,LH
794,AS2072,L02,80.0,LH
795,AS2072,L03,80.0,LH
796,AS2072,L04,80.0,LH
797,AS2072,L05,80.0,LH
798,AS2072,L06,80.0,LH
799,AS3013,A01,60.0,QT
800,AS3014,A01,60.0,QT
801,AS3015,A01,60.0,QT
802,AS3015,L01,60.0,LH
803,AS3016,A01,60.0,QT
804,AS3016,L01,60.0,LH
805,AS3049,CC01,60.0,QT
806,AS3049,L01,60.0,LH
807,AS3050,CC01,60.0,QT
808,AS3050,L01,60.0,LH
809,AS3061,A01,60.0,QT
810,AS3061,L01,70.0,LH
811,AS3062,A01,60.0,QT
812,AS3062,L01,70.0,LH
813,AS3069,CC01,60.0,QT
814,AS3069,L01,60.0,LH
