MAKEM,MAMH,TENMH,TENMH_ENG,MASUBJECTAREA,SOTC,SOTC_HP,SOTIET,SOTIET_XEPTKB,loai_mh,f_lt,f_bt,f_tn,f_btl,f_da,f_la,f_tq,f_makh,mau
,003727,PHAP VAN 5 (XD)         ,French 5                                                                                                                          ,LA,3,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003728,PHAP VAN 6 (XD)         ,French 6                                                                                                                          ,LA,3,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003729,PHAP VAN 7 (XD)         ,French 7                                                                                                                          ,LA,3,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003730,PHAP VAN 8 (XD)         ,French 8                                                                                                                          ,LA,3,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003801,IELF 1                  ,IELF 1                  ,LA,0,115,168,168,Lec,168,0,0,0,0,0,0,TN,
,003802,IELF 2                  ,IELF 2                  ,LA,0,115,168,168,Lec,168,0,0,0,0,0,0,TN,
,003803,IELF 3                  ,IELF 3                  ,LA,0,115,168,168,Lec,168,0,0,0,0,0,0,TN,
,003804,IELF 4                  ,IELF 4                  ,LA,0,115,168,168,Lec,168,0,0,0,0,0,0,TN,
,003805,TIENG NHAT 1            ,Japanese 1                                                                                                                        ,LA,0,0,0,0,,0,0,0,0,0,0,0,TN,
,003806,TIENG NHAT 2            ,Japanese 2                                                                                                                        ,LA,0,0,0,0,,0,0,0,0,0,0,0,TN,
,003807,TIENG NHAT 3            ,Japanese 3                                                                                                                        ,LA,0,0,0,0,,0,0,0,0,0,0,0,TN,
,003808,TIENG NHAT 4            ,Japanese 4                                                                                                                        ,LA,0,0,0,0,,0,0,0,0,0,0,0,TN,
,003809,TIENG NHAT 5            ,Japanese 5                                                                                                                        ,LA,0,0,0,0,,0,0,0,0,0,0,0,TN,
,006007,TOAN KINH TE UNG DUNG   ,Applied Mathematics in Economics                                                                                                  ,IM,3,3,45,40,Lec,40,5,0,1,0,0,0,QL,
,006106,TOAN KINH TE UNGDUNG (BT,Applied Mathematics in Economics (BT)                                                                                             ,IM,0,0,20,20,Prsn,0,20,0,0,0,0,0,QL,
,007402,"UNIV PHYSICS,ELEC & MAG ","Universal Physics, Electrics and Magnetics                                                                                        ",EE,4,4,60,60,Lec,60,0,0,0,0,0,0,DD,
,007403,"UNIV PHYSICS,THERMALPHYS","Universal Physics, Thermal Physics                                                                                                ",ME,2,2,30,30,Lec,30,0,0,0,0,0,0,CK,
,007710,AM THANH CONG TRINH     ,Acoustics in Civil Engineering                                                                                                    ,CI,2,2,48,21,Lec,21,0,0,27,0,0,0,XD,2c
,200002,THUC HANH DIEN - DIEN TU,Practice of Electrics and Electronics                                                                                             ,20,2,2,60,60,Lab,0,0,60,0,0,0,0,BD,
,200003,PP NGHIEN CUU KHOA HOC  ,Scientific Research Methods                                                                                                       ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200004,LUAN VAN TOT NGHIEP     ,Thesis                                                                                                                            ,ME,30,30,0,0,,0,0,0,0,0,0,0,CK,
,200005,CHUYEN DE A             ,CHUYEN DE A             ,ME,4,4,60,60,Lec,60,0,0,0,0,0,0,CK,
,200006,LUAN VAN TOT NGHIEP     ,Thesis                                                                                                                            ,ME,10,10,0,0,,0,0,0,0,0,0,0,CK,
,200007,THUC TAP TOT NGHIEP     ,Internship                                                                                                                        ,ME,2,2,0,0,,0,0,0,0,0,0,0,CK,
,200008,LUAN VAN TOT NGHIEP     ,Thesis                                                                                                                            ,ME,4,4,0,0,,0,0,0,0,0,0,0,CK,
,200009,DO HOA DIEN TOAN        ,DO HOA DIEN TOAN        ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200010,PP PHAN TICH HH         ,PP PHAN TICH HH         ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200011,KY THUAT HOC 1          ,KY THUAT HOC 1          ,20,3,3,45,30,Lec,30,15,0,0,0,0,0,BD,
,200012,DAN HOI & DEO           ,DAN HOI & DEO           ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200013,MO HINH HOA HINH HOC    ,MO HINH HOA HINH HOC    ,ME,2,2,45,30,Lec,30,0,15,0,0,0,0,CK,
,200014,CAC CHUYEN DE HK9       ,CAC CHUYEN DE HK9       ,ME,8,8,0,0,,0,0,0,0,0,0,0,CK,
,200015,CAC CHUYEN DE HK9       ,CAC CHUYEN DE HK9       ,ME,4,4,60,60,Lec,60,0,0,0,0,0,0,CK,
,200016,CHUYEN DE B             ,CHUYEN DE B             ,ME,8,8,120,120,Lec,120,0,0,0,0,0,0,CK,
,200017,DO HOA DIEN TOAN        ,DO HOA DIEN TOAN        ,ME,3,3,45,30,Lec,30,15,0,0,0,0,0,CK,
,200018,CN GIA CONG CHINH XAC   ,CN GIA CONG CHINH XAC   ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200019,HAN KIM LOAI (KTCT)     ,HAN KIM LOAI (KTCT)     ,ME,2,2,45,30,Lec,30,5,10,1,0,0,0,CK,
,200020,GIA CONG VL PHI KIM LOAI,GIA CONG VL PHI KIM LOAI,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200021,QL & KT BAO TRI CNGHIEP ,QL & KT BAO TRI CNGHIEP ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200022,VI XU LY UNG DUNG       ,VI XU LY UNG DUNG       ,ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200023,VAT LIEU COMPOSITE(KTCT),VAT LIEU COMPOSITE(KTCT),ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
,200024,VATLIEU PHI K.LOAI(KTCT),VATLIEU PHI K.LOAI(KTCT),ME,2,2,45,30,Lec,30,15,0,0,0,0,0,CK,
