room_id,room_description,resource_type
H3-506,LH,GENERAL
H6-006,NM,GENERAL
H2-802,DA,GENERAL
H3-005,LA,GENERAL
H3-007,LO,GENERAL
H3-001A,B1,GENERAL
H3-002A,B3,GENERAL
H2-705,B5,GENERAL
H6-301,T2,GENERAL
H6-4031,SA,GENERAL
TT THE DUC THE THAO,SL,OTHER_SPECIAL
H2-004,B6,GENERAL
TT GIAO DUC QP-AN,SL,OTHER_SPECIAL
H6-811,LH,GENERAL
H6-201,LH,GENERAL
H6-405,LH,GENERAL
H6-802,LH,GENERAL
H6-810,LH,GENERAL
H6-016,NM,GENERAL
H6-203A,T8,GENERAL
H6-203B,T8,GENERAL
H1-708,AS,GENERAL
HOBOI KV THU DUC,HB,OTHER_SPECIAL
H6-4021,V4,GENERAL
H3-011,PC,COMPUTER_LAB
H6-011,T1,GENERAL
H6-012,T1,GENERAL
H3-606,LH,GENERAL
