course_id,course_name,resource_type
204037,THIET KE CHUYEN MAY,GENERAL
204039,MY THUAT TRANG PHUC,GENERAL
204040,THIET KE TRANG PHUC,GENERAL
204041,HOA HOC THUOC NHUOM,GENERAL
204042,T/NGHIEM NHUOM - IN BONG,CHEMISTRY_LAB
204043,DLUC HOC CAC QTCN DETSOI,GENERAL
204045,LY THUYET THOI TRANG,GENERAL
204046,VE MY THUAT TRANG PHUC,STUDIO
204047,CO HOC SOI & SOI VAI,GENERAL
204048,CO DIEN TU TRONG DET MAY,GENERAL
204049,THUC TAP KY THUAT(MAY),MECHANICAL_WORKSHOP
204051,KY THUAT MOI TRUONG DC,GENERAL
204055,THUC TAP KY THUAT (MAY),MECHANICAL_WORKSHOP
204101,KTHUAT XL SLIEU TRG DET,GENERAL
204102,KT THONG GIO CONG NGHIEP,GENERAL
204103,THIET KE TRANG PHUC 1,GENERAL
204104,THIET BI MAY,MECHANICAL_WORKSHOP
204105,THIET BI NHUOM,GENERAL
204106,CN C/BI V/LIEU IN NHUOM,GENERAL
204107,QUA TRINH & THIETBI CNHH,GENERAL
204108,CONG NGHE KHONG DET,GENERAL
204109,CAU TRUC VAI DET KIM,GENERAL
204110,TK&CNSX TRPHUC HG DETKIM,GENERAL
204111,THIET KE TRANG PHUC 2,GENERAL
204112,HOAN TAT& KIEM TRA SPHAM,GENERAL
204114,CONG NGHE IN - NHUOM,GENERAL
204115,KT TRANG TRI TRANG PHUC,GENERAL
204116,TH/KE TRANG PHUC TRE EM,GENERAL
204117,THIET KE TRANG PHUC NAM,GENERAL
204901,VAT LIEU DET,GENERAL
204902,CONG NGHE DET,GENERAL
204903,THIET BI DET,GENERAL
204904,THIET KE MAT HANG DET,GENERAL
204905,THIET KE CN DET (4NH),GENERAL
204906,THIET KE MAY DET (4NH),GENERAL
204907,CONG NGHE & THIET BI DET,GENERAL
204908,CONG NGHE & T.BI KEO SOI,GENERAL
204909,CONG NGHE & T.BI MAY,GENERAL
204910,CONG NGHE & T.BI DET KIM,GENERAL
204911,CN-TB IN NHUOM H.TAT VAI,GENERAL
204912,CONG NGHE & TBI DET THOI,GENERAL
204B01,CS C/NGHE TAO SOI & VAI,GENERAL
204B11,KHOA HOC VAT LIEU DET,GENERAL
205001,CN & THIET BI TAO PHOI,MECHANICAL_WORKSHOP
205002,CN KIM LOAI & THIET BI 1,MECHANICAL_WORKSHOP
205003,CN KIM LOAI & THIET BI 2,MECHANICAL_WORKSHOP
205005,HAN DAC BIET,GENERAL
205006,CAN DAC BIET,GENERAL
205007,LY THUYET BIEN DANG,GENERAL
205008,LY THUYET HAN,GENERAL
205009,TB & NM SX PHOI KIM LOAI,GENERAL
205010,LT & CN GC KHONG PHOI,GENERAL
205011,CN & THIET BI TAO PHOI,GENERAL
205012,LY THUYET BIEN DANG,GENERAL
205013,HAN KIM LOAI,GENERAL
205014,KT BIEN DANG TAO HINH KL,GENERAL
205015,KY THUAT CHE TAO 1,GENERAL
205016,CO SO LY THUYET HAN,GENERAL
205017,KY THUAT CAN KIM LOAI,GENERAL
205018,KY THUAT HOC KIM LOAI,MECHANICAL_WORKSHOP
205019,CONG NGHE HAN 1,MECHANICAL_WORKSHOP
205020,CONG NGHE HAN 2,MECHANICAL_WORKSHOP
