course_id,course_name,faculty_id,faculty_name,credits,total_hours,lecture_hours,exercise_hours,lab_hours,project_hours,assignment_hours,thesis_hours,course_type,companion_course_id,resource_type,resource_confidence
CO3011,Quản lý Dự án Phần mềm,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3013,X/DUNG CHUONG TRINH DICH,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3015,Kiểm tra Phần mềm,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3017,Kiến trúc Phần mềm,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3021,Hệ Quản trị Cơ sở Dữ Liệ,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3023,C/SO DULIEU PHANTAN &HDT,CO,,3,75,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3027,Thương mại Điện tử,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3029,Khai phá Dữ liệu,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3031,PHAN TICH VA THIET KE GT,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3033,Bảo mật Hệ thống Thông t,CO,,3,150,30,14,0,0,24,0,LECTURE,CO3034,GENERAL,1.0
CO3035,Hệ thời gian thực,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3036,GENERAL,1.0
CO3037,Phát triển ?ng dụng Inte,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3038,GENERAL,1.0
CO3041,Hệ thống Thông minh,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3043,Phát triển ?ng dụng trên,CO,,3,150,30,10,0,0,30,0,LECTURE,CO3044,GENERAL,1.0
CO3045,Lập trình Game,CO,,3,150,30,0,0,0,45,0,LECTURE,,GENERAL,1.0
CO3047,MANG MAY TINH NANG CAO,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3048,GENERAL,1.0
CO3049,Lập trình Web,CO,,3,150,30,0,20,0,15,0,LECTURE,CO3050,GENERAL,1.0
